"key","opponent","week","event_type","probability","proj","actual","name.team","owner.team","pic.team","xpos.team","ypos.team","name.oppo","owner.oppo","pic.oppo","xpos.oppo","ypos.oppo"
"399.l.605636.t.1","399.l.605636.t.2","1","preevent","0.5","0.00","0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1,"Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg",3,1
"399.l.605636.t.1","399.l.605636.t.3","2","preevent","0.5","0.00","0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1,"Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg",4,1
"399.l.605636.t.1","399.l.605636.t.4","3","preevent","0.5","0.00","0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1,"Beach Boners","Joshua","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/30706055348_dcd92e.jpg",1,1
"399.l.605636.t.1","399.l.605636.t.5","4","preevent","0.5","0.00","0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1,"Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png",2,2
"399.l.605636.t.1","399.l.605636.t.6","5","preevent","0.5","0.00","0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1,"Curve Flatteners","Wayne","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/6345bed68e022eae643b4402863890d13da2eaaf6f495c9c6b5c038545747e8b.jpg",3,2
"399.l.605636.t.1","399.l.605636.t.7","6","preevent","0.5","0.00","0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1,"Head oftheDepartment","Jp","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44285213562_ce51b8.jpg",4,2
"399.l.605636.t.1","399.l.605636.t.8","7","preevent","0.5","0.00","0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1,"Papa Peeps","Josh","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/57361934414_8cbe97.jpg",1,2
"399.l.605636.t.1","399.l.605636.t.9","8","preevent","0.5","0.00","0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1,"Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg",2,3
"399.l.605636.t.1","399.l.605636.t.10","9","preevent","0.5","0.00","0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1,"Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg",3,3
"399.l.605636.t.1","399.l.605636.t.11","10","preevent","0.5","0.00","0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1,"Suck it boners","Jeremy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24932942439_d3d88ba3c8.jpg",4,3
"399.l.605636.t.1","399.l.605636.t.12","11","preevent","0.5","0.00","0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1,"The Devils Rejects","Damien","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24975873119_7c41d8c039.jpg",1,3
"399.l.605636.t.1","399.l.605636.t.2","12","preevent","0.5","0.00","0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1,"Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg",3,1
"399.l.605636.t.1","399.l.605636.t.3","13","preevent","0.5","0.00","0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1,"Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg",4,1
"399.l.605636.t.2","399.l.605636.t.1","1","preevent","0.5","0.00","0.00","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg",3,1,"Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1
"399.l.605636.t.2","399.l.605636.t.12","2","preevent","0.5","0.00","0.00","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg",3,1,"The Devils Rejects","Damien","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24975873119_7c41d8c039.jpg",1,3
"399.l.605636.t.2","399.l.605636.t.3","3","preevent","0.5","0.00","0.00","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg",3,1,"Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg",4,1
"399.l.605636.t.2","399.l.605636.t.4","4","preevent","0.5","0.00","0.00","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg",3,1,"Beach Boners","Joshua","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/30706055348_dcd92e.jpg",1,1
